name,category,piston,breaks_water,stable,spawn_hostile,spawn_friendly,solid,conductive,height,height_note,width,width_note,falls,flammable,notes,id
Stone,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,stone
Granite (+ Polished Granite),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,granite-polished-granite
Diorite (+ Polished Diorite),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,diorite-polished-diorite
Andesite (+ Polished Andesite),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,andesite-polished-andesite
Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,deepslate
Cobbled Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,cobbled-deepslate
Polished Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,polished-deepslate
Chiseled Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,chiseled-deepslate
Deepslate Bricks (+ Cracked),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,deepslate-bricks-cracked
Deepslate Tiles (+ Cracked),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,deepslate-tiles-cracked
Tuff (+ Chiseled Tuff),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,tuff
Polished Tuff,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,polished-tuff
